,TICKER,Security
430,TE,TECO Energy
431,TGNA,Tegna
432,THC,Tenet Healthcare Corp.
433,TDC,Teradata Corp.
434,TSO,Tesoro Petroleum Co.
435,TXN,Texas Instruments
436,TXT,Textron Inc.
437,HSY,The Hershey Company
438,TRV,The Travelers Companies Inc.
439,TMO,Thermo Fisher Scientific
440,TIF,Tiffany & Co.
441,TWX,Time Warner Inc.
442,TWC,Time Warner Cable Inc.
443,TJX,TJX Companies Inc.
444,TMK,Torchmark Corp.
445,TSS,Total System Services
446,TSCO,Tractor Supply Company
447,RIG,Transocean
448,TRIP,TripAdvisor
449,FOXA,Twenty-First Century Fox Class A
450,FOX,Twenty-First Century Fox Class B
451,TSN,Tyson Foods
452,TYC,Tyco International
453,USB,U.S. Bancorp
454,UA,Under Armour
455,UNP,Union Pacific
456,UAL,United Continental Holdings
457,UNH,United Health Group Inc.
458,UPS,United Parcel Service
459,URI,"United Rentals, Inc."
460,UTX,United Technologies
461,UHS,"Universal Health Services, Inc."
462,UNM,Unum Group
463,URBN,Urban Outfitters
464,VFC,V.F. Corp.
465,VLO,Valero Energy
466,VAR,Varian Medical Systems
467,VTR,Ventas Inc
468,VRSN,Verisign Inc.
469,VRSK,Verisk Analytics
470,VZ,Verizon Communications
471,VRTX,Vertex Pharmaceuticals Inc
472,VIAB,Viacom Inc.
473,V,Visa Inc.
474,VNO,Vornado Realty Trust
475,VMC,Vulcan Materials
476,WMT,Wal-Mart Stores
477,WBA,Walgreens Boots Alliance
478,DIS,The Walt Disney Company
479,WM,Waste Management Inc.
480,WAT,Waters Corporation
481,ANTM,Anthem Inc.
482,WFC,Wells Fargo
483,HCN,Welltower Inc.
484,WDC,Western Digital
485,WU,Western Union Co
486,WY,Weyerhaeuser Corp.
487,WHR,Whirlpool Corp.
488,WFM,Whole Foods Market
489,WMB,Williams Cos.
490,WLTW,Willis Towers Watson
491,WEC,Wisconsin Energy Corporation
492,WYN,Wyndham Worldwide
493,WYNN,Wynn Resorts Ltd
494,XEL,Xcel Energy Inc
495,XRX,Xerox Corp.
496,XLNX,Xilinx Inc
497,XL,XL Capital
498,XYL,Xylem Inc.
499,YHOO,Yahoo Inc.
500,YUM,Yum! Brands Inc
501,ZBH,Zimmer Biomet Holdings
502,ZION,Zions Bancorp
503,ZTS,Zoetis
